asset_id,ticker,name,category,subcategory,underlying_collectible,significance,publisher,publication_year,issue_number,grade,brand,model,year,size,material,color,hardware,status,share_count,offering_date,offering_price_usd,offering_valuation_usd,exit_date,exit_price_per_share,exit_value_usd,total_return_at_exit,acquisition_cost_usd,rally_url,sec_filing_url,source_type,source_url,source_notes,last_quote_observed_at,data_quality_status,data_quality_warnings,trading_state,lifecycle_event_type,lifecycle_event_status,lifecycle_event_date,status_updated_at,buyout_offer_date,buyout_offer_price_per_share,buyout_offer_total_value,buyout_reference_price,buyout_reference_price_date,buyout_premium_pct,buyout_vote_yes_pct,buyout_vote_no_pct,buyout_vote_advisory_pct,buyout_vote_as_of,buyout_vote_provisional,buyout_notes
rally-af15,AF15,1962 Marvel Amazing Fantasy #15,comics,comics,,,,,,,,,1962.0,,,Marvel Amazing Fantasy #15,,exited,8000.0,2020-10-01,25.0,200000.0,,30.0,240000.0,0.19999999999999996,,,,manual_seed,,First appearance of Spider-Man. Submitted offering_date was 2020-10. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-avengers1,AVENGERS1,1963 Marvel The Avengers #1,comics,comics,,,,,,,,,1963.0,,,Marvel The Avengers #1,,exited,5000.0,2020-12-01,54.0,270000.0,,65.0,325000.0,0.20370370370370372,,,,manual_seed,,Submitted offering_date was 2020-12. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-avengers57,AVENGERS57,1968 Marvel The Avengers #57,comics,comics,,,,,,,,,1968.0,,,Marvel The Avengers #57,,trading,20000.0,2020-12-01,1.0,20000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-12. No Comics price history has been ingested.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-batman,BATMAN,"1940 DC Comics Batman #1, CGC 8.0",comics,comics,,,,,,,,,1940.0,,,"DC Comics Batman #1, CGC 8.0",,exited,180000.0,2022-12-01,10.0,1800000.0,,11.11,2000000.0,0.11111111111111116,,,,manual_seed,,Submitted offering_date was 2022-12. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-batman1,BATMAN1,"1940 DC Comics Batman #1, CGC 1.5",comics,comics,,,,,,,,,1940.0,,,"DC Comics Batman #1, CGC 1.5",,exited,1000.0,2020-06-01,71.0,71000.0,,103.95,103950.0,0.46408450704225346,,,,manual_seed,,Submitted offering_date was 2020-06. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-batman181,BATMAN181,1966 DC Comics Batman #181,comics,comics,,,,,,,,,1966.0,,,DC Comics Batman #181,,trading,5000.0,2021-12-01,10.0,50000.0,,,,,,,,manual_seed,,First appearance of Poison Ivy. Submitted offering_date was 2021-12. No Comics price history has been ingested.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-batman2,BATMAN2,1940 DC Comics Batman #2,comics,comics,,,,,,,,,1940.0,,,DC Comics Batman #2,,trading,8500.0,2021-05-01,10.0,85000.0,,,,,,,,manual_seed,,Submitted offering_date was 2021-05. No Comics price history has been ingested.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-batman3,BATMAN3,1940 DC Comics Batman #3,comics,comics,,,,,,,,,1940.0,,,DC Comics Batman #3,,trading,1000.0,2020-02-01,78.0,78000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-02. No Comics price history has been ingested.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-batman6,BATMAN6,1941 DC Comics Batman #6,comics,comics,,,,,,,,,1941.0,,,DC Comics Batman #6,,buyout_pending,2000.0,2020-10-01,13.5,27000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-10. No Comics price history has been ingested.,,limited,missing_quote_snapshot,halted,buyout_offer,pending,,,,11.0,22000.0,,,,,,,,,Pending offer metadata only; not an executed trade or completed exit.
rally-captain3,CAPTAIN3,1941 Timely Comics Captain America Comics #3,comics,comics,,,,,,,,,1941.0,,,Timely Comics Captain America Comics #3,,trading,1000.0,2020-07-01,37.0,37000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-07. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-daredev1,DAREDEV1,1964 Marvel Daredevil #1,comics,comics,,,,,,,,,1964.0,,,Marvel Daredevil #1,,exited,11500.0,2020-07-01,1.0,11500.0,,1.92,22080.0,0.9199999999999999,,,,manual_seed,,Submitted offering_date was 2020-07. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-dracula10,DRACULA10,1973 Marvel Tomb of Dracula #10,comics,comics,,,,,,,,,1973.0,,,Marvel Tomb of Dracula #10,,trading,4000.0,2022-08-01,10.0,40000.0,,,,,,,,manual_seed,,First appearance of Blade. Submitted offering_date was 2022-08. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-fan41,FAN41,1961 Marvel Fantastic Four #1,comics,comics,,,,,,,,,1961.0,,,Marvel Fantastic Four #1,,exited,2000.0,2020-08-01,52.5,105000.0,,63.0,126000.0,0.19999999999999996,,,,manual_seed,,Submitted offering_date was 2020-08. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-fan45,FAN45,1962 Marvel Fantastic Four #5,comics,comics,,,,,,,,,1962.0,,,Marvel Fantastic Four #5,,trading,10000.0,2021-03-01,8.0,80000.0,,,,,,,,manual_seed,,First appearance of Doctor Doom. Submitted offering_date was 2021-03. No Comics price history has been ingested.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-flash123,FLASH123,1961 DC Comics The Flash #123,comics,comics,,,,,,,,,1961.0,,,DC Comics The Flash #123,,trading,3625.0,2021-06-01,8.0,29000.0,,,,,,,,manual_seed,,Landmark multiverse story. Submitted offering_date was 2021-06. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-ghost1,GHOST1,1973 Marvel Ghost Rider #1,comics,comics,,,,,,,,,1973.0,,,Marvel Ghost Rider #1,,trading,2000.0,2021-10-01,7.0,14000.0,,,,,,,,manual_seed,,Submitted offering_date was 2021-10. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-hulk1,HULK1,1962 Marvel The Incredible Hulk #1,comics,comics,,,,,,,,,1962.0,,,Marvel The Incredible Hulk #1,,exited,2000.0,2020-05-01,44.5,89000.0,,58.0,116000.0,0.303370786516854,,,,manual_seed,,Submitted offering_date was 2020-05. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-hulk180,HULK180,1974 Marvel The Incredible Hulk #180,comics,comics,,,,,,,,,1974.0,,,Marvel The Incredible Hulk #180,,trading,10000.0,2021-12-01,4.2,42000.0,,,,,,,,manual_seed,,First cameo appearance of Wolverine. Submitted offering_date was 2021-12. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-justise1,JUSTISE1,1960 DC Comics Justice League of America #1,comics,comics,,,,,,,,,1960.0,,,DC Comics Justice League of America #1,,exited,5000.0,2020-11-01,43.0,215000.0,,45.0,225000.0,0.04651162790697683,,,,manual_seed,,Submitted offering_date was 2020-11. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-penguin,PENGUIN,1941 DC Comics Detective Comics #58,comics,comics,,,,,,,,,1941.0,,,DC Comics Detective Comics #58,,trading,10000.0,2021-11-01,6.0,60000.0,,,,,,,,manual_seed,,First appearance of the Penguin. Submitted offering_date was 2021-11. No Comics price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-showcase4,SHOWCASE4,1956 DC Comics Showcase #4,comics,comics,,,,,,,,,1956.0,,,DC Comics Showcase #4,,trading,11000.0,2022-01-01,7.0,77000.0,,,,,,,,manual_seed,,First appearance of the Silver Age Flash. Submitted offering_date was 2022-01. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-spider1,SPIDER1,1963 Marvel The Amazing Spider-Man #1,comics,comics,,,,,,,,,1963.0,,,Marvel The Amazing Spider-Man #1,,trading,1000.0,2020-02-01,22.0,22000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-02. No Comics price history has been ingested.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-spider10,SPIDER10,1964 Marvel The Amazing Spider-Man #10,comics,comics,,,,,,,,,1964.0,,,Marvel The Amazing Spider-Man #10,,trading,4200.0,2020-09-01,5.0,21000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-09. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-spider129,SPIDER129,1974 Marvel The Amazing Spider-Man #129,comics,comics,,,,,,,,,1974.0,,,Marvel The Amazing Spider-Man #129,,trading,10000.0,2021-10-01,4.0,40000.0,,,,,,,,manual_seed,,First appearance of the Punisher. Submitted offering_date was 2021-10. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-starwars1,STARWARS1,1977 Marvel Star Wars #1,comics,comics,,,,,,,,,1977.0,,,Marvel Star Wars #1,,trading,12000.0,2020-07-01,1.0,12000.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-07. No Comics price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-super14,SUPER14,1942 DC Comics Superman #14,comics,comics,,,,,,,,,1942.0,,,DC Comics Superman #14,,exited,5200.0,2020-11-01,25.0,130000.0,,30.0,156000.0,0.19999999999999996,,,,manual_seed,,Submitted offering_date was 2020-11. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-super21,SUPER21,1943 DC Comics Superman #21,comics,comics,,,,,,,,,1943.0,,,DC Comics Superman #21,,trading,8500.0,2020-05-01,1.0,8500.0,,,,,,,,manual_seed,,Submitted offering_date was 2020-05. No Comics price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-superman6,SUPERMAN6,1940 DC Comics Superman #6,comics,comics,,,,,,,,,1940.0,,,DC Comics Superman #6,,trading,3000.0,2022-07-01,8.0,24000.0,,,,,,,,manual_seed,,Submitted offering_date was 2022-07. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-surfer4,SURFER4,1968 Marvel Silver Surfer #4,comics,comics,,,,,,,,,1968.0,,,Marvel Silver Surfer #4,,trading,10000.0,2021-11-01,8.0,80000.0,,,,,,,,manual_seed,,Silver Surfer battles Thor. Submitted offering_date was 2021-11. No Comics price history has been ingested.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-thor,THOR,1962 Marvel Journey into Mystery #83,comics,comics,,,,,,,,,1962.0,,,Marvel Journey into Mystery #83,,exited,10750.0,2021-01-01,20.0,215000.0,,24.28,261000.0,0.21395348837209305,,,,manual_seed,,First appearance of Thor. Submitted offering_date was 2021-01. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-tmnt1,TMNT1,1984 Teenage Mutant Ninja Turtles #1,comics,comics,,,,,,,,,1984.0,,,Teenage Mutant Ninja Turtles #1,,exited,1000.0,2020-07-01,65.0,65000.0,,100.0,100000.0,0.5384615384615385,,,,manual_seed,,Submitted offering_date was 2020-07. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-tos39,TOS39,1963 Marvel Tales of Suspense #39,comics,comics,,,,,,,,,1963.0,,,Marvel Tales of Suspense #39,,exited,3000.0,2020-08-01,45.0,135000.0,,80.0,240000.0,0.7777777777777777,,,,manual_seed,,First appearance of Iron Man. Submitted offering_date was 2020-08. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-wolverine,WOLVERINE,1974 Marvel The Incredible Hulk #181,comics,comics,,,,,,,,,1974.0,,,Marvel The Incredible Hulk #181,,buyout_pending,5000.0,2021-01-01,9.5,47500.0,,,,,,,,manual_seed,,First full appearance of Wolverine. Submitted offering_date was 2021-01. No Comics price history has been ingested.,,limited,missing_quote_snapshot,halted,buyout_offer,pending,,,,11.4,57000.0,,,,,,,,,Pending offer metadata only; not an executed trade or completed exit.
rally-xlxmen1,XLXMEN1,1975 Marvel Giant-Size X-Men #1,comics,comics,,,,,,,,,1975.0,,,Marvel Giant-Size X-Men #1,,trading,8000.0,2021-08-01,8.0,64000.0,,,,,,,,manual_seed,,First appearance of the new X-Men team. Submitted offering_date was 2021-08. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-xmen1,XMEN1,1963 Marvel X-Men #1,comics,comics,,,,,,,,,1963.0,,,Marvel X-Men #1,,exited,12000.0,2021-03-01,20.0,240000.0,,27.08,325000.0,0.3541666666666665,,,,manual_seed,,Submitted offering_date was 2021-03. No Comics price history has been ingested.,,limited,missing_quote_snapshot,inactive,buyout,completed,,,,,,,,,,,,,,
rally-xmen94,XMEN94,1975 Marvel X-Men #94,comics,comics,,,,,,,,,1975.0,,,Marvel X-Men #94,,trading,10000.0,2021-08-01,6.5,65000.0,,,,,,,,manual_seed,,New X-Men team enters the title series. Submitted offering_date was 2021-08. No Comics price history has been ingested.,,limited,missing_quote_snapshot,active,none,none,,,,,,,,,,,,,,
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,,,,,,,,,,Barosaurus Skeleton,,exited,200000.0,2025-09-01,62.5,12500000.0,,,,,,,,manual_seed,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.,,limited,missing_quote_snapshot,inactive,other_exit,completed,,,,,,,,,,,,,,
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,,,,,,,,,,Deaton Triceratops Skull,,exit_pending,11400.0,2021-01-01,25.0,285000.0,,,,,,,,manual_seed,,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01.",2026-06-22,usable,,halted,other_exit,pending,,,,,,,,,,,,,,
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,,,,,,,,,,Megalodon Fossil,,trading,30000.0,2021-10-01,20.0,600000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-10.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,,,,,,,,,,Mosasaur,,trading,6000.0,2021-02-01,5.0,30000.0,,,,,,,,manual_seed,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,,,,,,,,,,BCQ-24 Stegosaurus Skeleton,,exited,200000.0,2024-12-01,68.75,13750000.0,,,,,,,,manual_seed,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.,,limited,missing_quote_snapshot,inactive,other_exit,completed,,,,,,,,,,,,,,
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,,,,,,,Hermes,Birkin,,25,Lizard,Blue,,exited,1000.0,2019-11-01,58.0,58000.0,2025-04-10,68.0,68000.0,0.17241379310344818,,,,manual_seed,,Exited via buyout. Submitted offering_date was 2019-11.,2025-03-24,limited,stale_quote_snapshot,inactive,buyout,completed,2025-04-10,,,,,,,,,,,,,
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,,,,,,,Hermes,Birkin,,35,Crocodile,Bordeaux,,trading,2000.0,2020-02-01,26.25,52500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-02.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,,,,,,,Hermes,Birkin,,30,Ostrich,Tangerine,,trading,1000.0,2020-06-01,28.0,28000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-06.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,,,,,,,Hermes,,,,,Faubourg,,exited,2000.0,2020-09-01,75.0,150000.0,2023-05-30,87.5,175000.0,0.16666666666666674,,,,manual_seed,,"Exited via buyout for $175,000 / $87.50 per share.",2023-03-31,limited,stale_quote_snapshot,inactive,buyout,completed,2023-05-30,,,,,,,,,,,,,
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,,,,,,,Hermes,,,,,Faubourg 2,,exited,11000.0,2021-01-01,15.0,165000.0,2025-01-06,16.5,181500.0,0.10000000000000009,,,,manual_seed,,Exited via buyout. Submitted offering_date was 2021-01.,2024-09-26,limited,stale_quote_snapshot,inactive,buyout,completed,2025-01-06,,,,,,,,,,,,,
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,,,,,,,Hermes,Birkin,,30,,Himalaya,,trading,2000.0,2020-05-01,70.0,140000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-05.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,,,,,,,Hermes,Kelly,,35,,Picnic,,trading,2000.0,2020-12-01,27.0,54000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,,,,,,,Hermes,Birkin,,30,,So Black,,trading,1000.0,2020-09-01,56.0,56000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-gold1,GOLD1,172 GM Gold Nugget,precious minerals,precious minerals,,,,,,,,,,,,172 GM Gold Nugget,,trading,4000.0,2022-04-01,4.0,16000.0,,,,,,,,manual_seed,,Alaska gold nugget weighing 172 grams. Currently trading. Submitted offering_date was 2022-04. No price history has been ingested.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-meteorite,METEORITE,Lunar Meteorite,precious minerals,meteorites,,,,,,,,,,,,Lunar Meteorite,,trading,17500.0,2021-08-01,20.0,350000.0,,,,,,,,manual_seed,,Lunar meteorite. Currently trading. Submitted offering_date was 2021-08. No price history has been ingested.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-7orlex,70RLEX,1970 Rolex Watch,watches,rolex,,,,,,,Rolex,,1970.0,,,Watch,,exited,1000.0,2019-11-01,20.0,20000.0,2023-12-12,30.0,30000.0,0.5,,,,manual_seed,,"Exited via buyout for $30,000 / $30.00 per share.",2023-09-27,limited,stale_quote_snapshot,inactive,buyout,completed,2023-12-12,,,,,,,,,,,,,
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,,,,,,,Rolex,,1979.0,,,Coral Stella Dial Day-Date,,trading,13800.0,2020-10-01,5.0,69000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-10.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,,,,,,,Rolex,Daytona,1993.0,,,Zenith,,trading,2000.0,2020-09-01,21.0,42000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,,,,,,,Audemars Piguet,Royal Oak,,,,,,exited,1000.0,2019-12-01,75.0,75000.0,2021-06-30,110.0,110000.0,0.46666666666666656,,,,manual_seed,,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately.",2021-05-10,limited,stale_quote_snapshot,inactive,buyout,completed,2021-06-30,,,,,,,,,,,,,
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,trading,20000.0,2022-01-01,4.0,80000.0,,,,,,,,manual_seed,,Film-worn James Bond watch. Submitted offering_date was 2022-01.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,,,,,,,,,,DiMaggio 2 Watch,,trading,2000.0,2020-11-01,10.5,21000.0,,,,,,,,manual_seed,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,,,,,,,Rolex,,,,,Domino's Pizza Special Edition Rolex Air-King,,trading,2000.0,2021-01-01,5.5,11000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-01.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,,,,,,,Rolex,,1983.0,,,GMT-Master Nipple Dial,,trading,1000.0,2020-06-01,28.0,28000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-06.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,,,,,,,Rolex,,1965.0,,,1601 Datejust Joyera Riviera,,trading,6000.0,2021-04-01,5.0,30000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-04.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,,,,,,,Rolex,,,,,GMT-Master II Pepsi Jubilee,,trading,2000.0,2019-11-01,8.9,17800.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-11.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,,,,,,,Rolex,Submariner,,,,,,trading,2000.0,2019-11-01,17.25,34500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2019-11.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,,,,,,,,,,Omega Speedmaster Silver Snoopy,,trading,2000.0,2020-04-01,12.75,25500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-04.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,,,,,,,,,,Tornek-Rayville TR-900,,trading,33000.0,2020-11-01,5.0,165000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-11.,2026-06-24,usable,,active,none,none,,,,,,,,,,,,,,
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,,,,,,,2000.0,,,Chateau Mouton Rothschild,,trading,2000.0,2021-04-01,13.5,27000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-04.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,,,,,,,2003.0,,,Domaine de la Romanee-Conti La Tache,,trading,15600.0,2020-11-01,5.0,78000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-11.,2026-06-25,usable,,active,none,none,,,,,,,,,,,,,,
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,,,,,,,2005.0,,,Chateau Latour,,trading,1000.0,2020-09-01,9.8,9800.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,,,,,,,2006.0,,,Giacomo Conterno Barolo Riserva Monfortino,,trading,1850.0,2020-12-01,10.0,18500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-12.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,,,,,,,2009.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,trading,6800.0,2021-01-01,5.0,34000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-01.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,,,,,,,2009.0,,,Domaine Leroy Richebourg,,trading,4300.0,2021-08-01,25.0,107500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-08.,2026-06-30,usable,,active,none,none,,,,,,,,,,,,,,
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,,,,,,,2011.0,,,Domaine du Comte Liger-Belair Vosne-Romanee Aux Reignots,,trading,2000.0,2021-03-01,11.0,22000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2021-03.,2026-06-29,usable,,active,none,none,,,,,,,,,,,,,,
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,,,,,,,2013.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,trading,5100.0,2020-11-01,5.0,25500.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-11.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,,,,,,,2014.0,,,Domaine de la Romanee-Conti Assortment,,trading,1000.0,2020-09-01,54.0,54000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-24,usable,,active,none,none,,,,,,,,,,,,,,
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,,,,,,,2016.0,,,Chateau Petrus,,trading,9000.0,2020-09-01,5.2,46800.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,,,,,,,2016.0,,,Screaming Eagle,,trading,1000.0,2020-09-01,39.0,39000.0,,,,,,,,manual_seed,,Currently trading. Submitted offering_date was 2020-09.,2026-06-26,usable,,active,none,none,,,,,,,,,,,,,,
rally-17dujac,17DUJAC,2017 Domaine Dujac Wine Collection,wine and whiskey,wine,,,,,,,,,2017.0,,,Domaine Dujac Wine Collection,,exited,3250.0,2021-03-01,8.0,26000.0,2025-05-13,10.923077,35500.0,0.3653846153846154,,,,manual_seed,,Exited wine asset; final realized buyout displays approximately $10.92/share.,2025-03-27,limited,stale_quote_snapshot,inactive,buyout,completed,2025-05-13,,,,,,,,,,,,,
